TradeFrequency,n_test,Log_Loss_Train,Log_Loss_Train_err,Log_Loss_Test,Log_Loss_Test_err,AUC_Model_Train,AUC_Model_Train_err,AUC_Model_Test,AUC_Model_Test_err,AUC_Random,AUC_Random_err,p-value
1h,53,0.6708417061212016,0.0024742181717439865,0.6958096541310459,0.008694274723670794,0.595471380299788,0.017673901575445294,0.4999735160703371,0.025550525486215916,0.5051744947842092,0.01769305796085274,0.23025627137043367
2h,53,0.6553259778222169,0.005304314939979032,0.7020409463383183,0.02372684707209666,0.6150541164641492,0.02172343358070553,0.5118100123330928,0.03622991811065031,0.4987550842256835,0.022399130740966347,0.029287467751455545
4h,53,0.6256983156040464,0.010060548490955787,0.7091187268047286,0.04412676484093256,0.6654975805306295,0.03458151490937169,0.5043240306716931,0.04037163108325692,0.5033597107051707,0.020537997240573785,0.8782847995003149
1d,53,0.5954360678264641,0.01619812952938095,0.7146712983253577,0.06448954068443169,0.7038908423686555,0.03382251630833035,0.5121578423547071,0.056341196096284574,0.499328421933754,0.02052354304408185,0.12590239465423245
2d,53,0.5382518692724886,0.019876526838671558,0.7192058859989519,0.09867614177333937,0.7519731962098674,0.04039639717409001,0.5154690510915099,0.07157636164099991,0.49986935355881806,0.024749585441155412,0.1404804699749723
3d,53,0.4840617898596496,0.02004555453998582,0.7355272542031707,0.16225650544028858,0.7763225161941681,0.0431441820840053,0.526173251335729,0.10198547210387243,0.5017810839142441,0.02246971510464051,0.09512168204950508
1w,53,0.41299891666435534,0.029794576303967316,0.7654210104460709,0.22328538044393714,0.8217988563948813,0.04559513764119813,0.5119411725757957,0.09796555905293242,0.50166811818608,0.02701692634282514,0.4763884392920188
2w,53,0.303004417265704,0.04386600694463687,0.8734654987112754,0.3879078898130941,0.881596279223451,0.03721257661064944,0.48218709242525565,0.12136951014906978,0.49414084807860775,0.03720515902357969,0.5201327858532621
4w,52,0.17781638929843688,0.06289687051537023,0.9765600184924418,0.5412840635707216,0.9551401411766692,0.01807710755762634,0.4827503034304932,0.08975706047435643,0.49315846523894064,0.05428343715210426,0.5826211897471504
